accuracy,rocauc,balancedaccuracy,f1,recall,geometricmean
0.0,-0.0,0.0,0.0,0.0,0.0
0.0,-0.0,0.0,0.0,0.0,0.0
0.0,-0.0,0.0,0.0,0.0,0.0
0.0,-0.0,0.0,0.0,0.0,0.0
0.0,-0.0,0.0,0.0,0.0,0.0
0.16666666666666666,-0.0,0.16666666666666666,0.0,0.0,0.0
0.2857142857142857,-0.0,0.25,0.0,0.0,0.0
0.375,-0.0,0.3,0.0,0.0,0.0
0.3333333333333333,-0.0,0.25,0.0,0.0,0.0
0.4,-0.0,0.375,0.0,0.0,0.3535533905932738
0.45454545454545453,-0.0,0.45,0.0,0.0,0.447213595499958
0.5,-0.0,0.4857142857142857,0.0,0.0,0.47809144373375745
0.46153846153846156,-0.0,0.45,0.0,0.0,0.447213595499958
0.5,-0.0,0.4777777777777778,0.0,0.0,0.47140452079103173
0.5333333333333333,-0.0,0.5,0.0,0.0,0.48989794855663565
0.5625,-0.0,0.5181818181818182,0.0,0.0,0.504524979109513
0.5882352941176471,-0.0,0.5333333333333333,0.0,0.0,0.5163977794943222
0.6111111111111112,-0.0,0.5461538461538462,0.0,0.0,0.5262348115842176
0.631578947368421,-0.0,0.5571428571428572,0.0,0.0,0.5345224838248488
0.65,-0.0,0.6071428571428572,0.0,0.0,0.5976143046671969
0.6190476190476191,-0.0,0.5833333333333333,0.0,0.0,0.5773502691896257
0.6363636363636364,-0.0,0.59375,0.0,0.0,0.5863019699779287
0.6521739130434783,-0.0,0.6029411764705883,0.0,0.0,0.5940885257860046
0.6666666666666666,-0.0,0.6111111111111112,0.0,0.0,0.6009252125773316
0.68,-0.0,0.618421052631579,0.0,0.0,0.6069769786668839
0.6923076923076923,-0.0,0.6541353383458646,0.0,0.0,0.6488856845230501
0.6666666666666666,-0.0,0.618421052631579,0.0,0.0,0.6069769786668839
0.6785714285714286,-0.0,0.625,0.0,0.0,0.6123724356957946
0.6896551724137931,-0.0,0.6309523809523809,0.0,0.0,0.6172133998483676
0.7,-0.0,0.6363636363636364,0.0,0.0,0.621581560508061
0.7096774193548387,-0.0,0.6413043478260869,0.0,0.0,0.6255432421712244
0.71875,-0.0,0.6458333333333333,0.0,0.0,0.6291528696058958
0.7272727272727273,-0.0,0.65,0.0,0.0,0.6324555320336759
0.7058823529411765,-0.0,0.6222222222222222,0.0,0.0,0.5962847939999439
0.7142857142857143,-0.0,0.6260683760683761,0.0,0.0,0.5991446895152781
0.7222222222222222,-0.0,0.6296296296296295,0.0,0.0,0.6017806225656267
0.7297297297297297,-0.0,0.6329365079365079,0.0,0.0,0.6042179781166438
0.7368421052631579,-0.0,0.6360153256704981,0.0,0.0,0.6064784348631227
0.717948717948718,0.5,0.42401021711366543,0.0,0.0,0.0
0.7,0.48717948717948717,0.4091954022988506,0.0,0.0,0.0
0.6829268292682927,0.475,0.4000000000000001,0.0,0.0,0.0
0.6666666666666666,0.4634146341463415,0.3913978494623656,0.0,0.0,0.0
0.6511627906976745,0.4523809523809524,0.3792766373411534,0.0,0.0,0.0
0.6363636363636364,0.4418604651162791,0.37121212121212127,0.0,0.0,0.0
0.6222222222222222,0.4318181818181818,0.3636363636363636,0.0,0.0,0.0
0.6304347826086957,0.4222222222222222,0.36631016042780756,0.0,0.0,0.0
0.6382978723404256,0.41304347826086957,0.3688311688311689,0.0,0.0,0.0
0.6458333333333334,0.4042553191489362,0.37121212121212127,0.0,0.0,0.0
0.6530612244897959,0.3958333333333333,0.37346437346437344,0.0,0.0,0.0
0.64,0.6145833333333334,0.37346437346437344,0.0,0.0,0.0
0.6274509803921569,0.6874999999999999,0.37346437346437344,0.0,0.0,0.0
0.6346153846153846,0.6904761904761905,0.37559808612440193,0.0,0.0,0.0
0.6415094339622641,0.6933333333333334,0.37762237762237766,0.0,0.0,0.0
0.6296296296296297,0.7300000000000001,0.37762237762237766,0.0,0.0,0.0
0.6363636363636364,0.732843137254902,0.3795454545454546,0.0,0.0,0.0
0.6428571428571429,0.7355769230769231,0.38137472283813745,0.0,0.0,0.0
0.6491228070175439,0.7382075471698114,0.38311688311688313,0.0,0.0,0.0
0.6551724137931034,0.7407407407407408,0.3847780126849894,0.0,0.0,0.0
0.6610169491525424,0.743181818181818,0.3863636363636364,0.0,0.0,0.0
0.6666666666666666,0.7455357142857143,0.40404040404040403,0.0,0.0,0.0
0.6557377049180327,0.7478070175438596,0.39335664335664333,0.0,0.0,0.0
0.6612903225806451,0.75,0.39487179487179486,0.0,0.0,0.0
0.6666666666666666,0.7521186440677966,0.3963210702341137,0.0,0.0,0.0
0.671875,0.7541666666666668,0.397708674304419,0.0,0.0,0.0
0.676923076923077,0.7561475409836066,0.3990384615384615,0.0,0.0,0.0
0.6666666666666666,0.6885245901639345,0.3990384615384615,0.0,0.0,0.0
0.6716417910447762,0.6903225806451614,0.4136904761904762,0.0,0.0,0.0
0.6617647058823529,0.6920634920634922,0.4041666666666666,0.0,0.0,0.0
0.6666666666666666,0.6937500000000001,0.4166666666666667,0.0,0.0,0.0
0.6714285714285714,0.6953846153846154,0.4276960784313726,0.0,0.0,0.0
0.676056338028169,0.696969696969697,0.4375,0.0,0.0,0.0
0.6805555555555556,0.6865671641791045,0.4462719298245614,0.0,0.0,0.0
0.6712328767123288,0.6882352941176472,0.4375,0.0,0.0,0.0
0.6756756756756757,0.6898550724637681,0.4454365079365079,0.0,0.0,0.0
0.68,0.6914285714285715,0.45265151515151514,0.0,0.0,0.0
0.6710526315789473,0.6816901408450704,0.44474637681159424,0.0,0.0,0.0
0.6623376623376623,0.6373239436619718,0.44474637681159424,0.0,0.0,0.0
0.6666666666666666,0.6388888888888888,0.45138888888888884,0.0,0.0,0.0
0.6582278481012658,0.6785714285714286,0.45138888888888884,0.0,0.0,0.0
0.6625,0.6771037181996086,0.4575,0.0,0.0,0.0
0.6666666666666666,0.7148972602739726,0.4991666666666667,0.125,0.125,0.3845685840490589
0.6707317073170732,0.7382039573820394,0.5315740740740741,0.2222222222222222,0.2222222222222222,0.46587166228789495
0.6626506024096386,0.7394894894894894,0.5243945868945868,0.2222222222222222,0.2222222222222222,0.45982069606352016
0.6666666666666666,0.7635135135135136,0.5503205128205128,0.3,0.3,0.5081981784074268
0.6588235294117647,0.756,0.5436728395061728,0.28571428571428564,0.3,0.5018450351679297
0.6511627906976745,0.7473684210526316,0.5375,0.2727272727272727,0.3,0.49579812067019374
0.6551724137931034,0.7428571428571429,0.5432471264367816,0.2727272727272727,0.3,0.5014326725868689
0.6477272727272727,0.7378205128205128,0.5375,0.2608695652173913,0.3,0.49579812067019374
0.6404494382022472,0.739240506329114,0.5321236559139785,0.2608695652173913,0.3,0.490408583806773
0.6444444444444445,0.736875,0.5375,0.2608695652173913,0.3,0.49579812067019374
0.6483516483516484,0.7382716049382715,0.5425505050505051,0.2608695652173913,0.3,0.5007564308053554
0.6521739130434783,0.7396341463414635,0.5473039215686274,0.2608695652173913,0.3,0.5053350293223717
0.6559139784946236,0.7409638554216867,0.5517857142857142,0.2608695652173913,0.3,0.5095772847032974
0.6595744680851063,0.7552026286966047,0.5729978354978355,0.32,0.36363636363636365,0.5433238183402986
0.6631578947368421,0.7564935064935067,0.5772306397306397,0.32,0.36363636363636365,0.5475276513673366
0.65625,0.7518716577540108,0.5722256347256347,0.30769230769230765,0.36363636363636365,0.5425498517393356
0.6494845360824743,0.7531712473572939,0.5674840510366826,0.30769230769230765,0.36363636363636365,0.5377482738026446
0.6428571428571429,0.7544409613375129,0.5629856254856255,0.30769230769230765,0.36363636363636365,0.5331122821307175
0.6464646464646465,0.7556818181818181,0.5670454545454545,0.30769230769230765,0.36363636363636365,0.5372997762853136
0.64,0.7568947906026559,0.5627771618625278,0.30769230769230765,0.36363636363636365,0.5328954816667403
0.6336633663366337,0.758080808080808,0.5587121212121212,0.30769230769230765,0.36363636363636365,0.5286321351732156
0.6274509803921569,0.7277777777777777,0.548611111111111,0.2962962962962963,0.3333333333333333,0.51352001231242
0.6213592233009708,0.7289377289377288,0.544735142118863,0.2962962962962963,0.3333333333333333,0.509507973319866
0.6153846153846154,0.730072463768116,0.5410353535353535,0.2962962962962963,0.3333333333333333,0.5056184477941964
0.6190476190476191,0.7311827956989247,0.5449074074074074,0.2962962962962963,0.3333333333333333,0.509687630589099
0.6226415094339622,0.7322695035460991,0.548611111111111,0.2962962962962963,0.3333333333333333,0.51352001231242
0.6261682242990654,0.7467266775777414,0.5657051282051282,0.3448275862068966,0.38461538461538464,0.538608672507971
0.6296296296296297,0.7477732793522267,0.5692512274959084,0.3448275862068966,0.38461538461538464,0.5424018163017719
0.6238532110091743,0.7229323308270678,0.5600937183383992,0.3333333333333333,0.35714285714285715,0.5291671883068445
0.6181818181818182,0.7333333333333334,0.5521572104018913,0.3225806451612903,0.3333333333333333,0.5171364695792988
0.6216216216216216,0.734375,0.5555555555555556,0.3225806451612903,0.3333333333333333,0.5205554072755795
0.625,0.7353951890034363,0.5588151927437642,0.3225806451612903,0.3333333333333333,0.5237931255524987
0.6194690265486725,0.7363945578231292,0.5552777777777778,0.3225806451612903,0.3333333333333333,0.5202776295241814
0.6228070175438597,0.7471301020408162,0.5691666666666667,0.3636363636363636,0.375,0.5411105403345208
0.6260869565217392,0.7443181818181818,0.5723039215686274,0.3636363636363636,0.375,0.5443556586301985
0.6206896551724138,0.7477718360071303,0.5649509803921569,0.35294117647058826,0.35294117647058826,0.533465611412869
0.6153846153846154,0.7488235294117648,0.5615573152337858,0.35294117647058826,0.35294117647058826,0.5300238019730948
0.6101694915254238,0.7561111111111112,0.5550213675213675,0.34285714285714286,0.3333333333333333,0.520020955762976
0.6134453781512605,0.7571507150715072,0.5580450733752621,0.34285714285714286,0.3333333333333333,0.5230317972620755
0.6166666666666667,0.7540849673202615,0.5609567901234568,0.34285714285714286,0.3333333333333333,0.5258987247179504
0.6198347107438017,0.7524271844660194,0.5637626262626262,0.34285714285714286,0.3333333333333333,0.5286321351732156
0.6229508196721312,0.750801282051282,0.566468253968254,0.34285714285714286,0.3333333333333333,0.5312414179972458
0.6178861788617886,0.7452380952380953,0.5632309941520468,0.3333333333333333,0.3333333333333333,0.5281163961773355
0.6209677419354839,0.7447589098532494,0.5658524904214559,0.3333333333333333,0.3333333333333333,0.5306498346370809
0.616,0.7406542056074766,0.5627354048964218,0.3243243243243243,0.3333333333333333,0.5276347136808028
0.6190476190476191,0.7402263374485598,0.5652777777777778,0.3243243243243243,0.3333333333333333,0.5300964975990199
0.6220472440944882,0.7398063200815493,0.5677367941712204,0.3243243243243243,0.3333333333333333,0.532456008653835
0.625,0.740909090909091,0.5701164874551972,0.3243243243243243,0.3333333333333333,0.5347196655725442
0.627906976744186,0.7394894894894896,0.5724206349206349,0.3243243243243243,0.3333333333333333,0.5368933466474013
0.6307692307692307,0.7390873015873016,0.5746527777777778,0.3243243243243243,0.3333333333333333,0.5389824468628437
0.6259541984732825,0.7429511278195489,0.5688048245614036,0.3157894736842105,0.3157894736842105,0.5293556949801757
0.6287878787878788,0.7414997671169072,0.570968286099865,0.3157894736842105,0.3157894736842105,0.5313292845913055
0.631578947368421,0.7412280701754387,0.5730661881977671,0.3157894736842105,0.3157894736842105,0.5332291670899838
0.6343283582089553,0.739816933638444,0.5751014663524483,0.3157894736842105,0.3157894736842105,0.5350594875075544
0.6296296296296297,0.7397826086956522,0.5698383084577114,0.3076923076923077,0.3,0.5259889303328787
0.6323529411764706,0.7461697722567288,0.5809494195688225,0.3414634146341463,0.3333333333333333,0.5447899673674068
0.635036496350365,0.7446633825944171,0.5829248366013072,0.3414634146341463,0.3333333333333333,0.546586649375392
0.6376811594202898,0.7444037444037443,0.5848429951690821,0.3414634146341463,0.3333333333333333,0.5483200224458945
0.6402877697841727,0.7503885003885004,0.5949440052700923,0.37209302325581395,0.36363636363636365,0.5644562573492294
0.6428571428571429,0.7474961479198767,0.5968073593073594,0.37209302325581395,0.36363636363636365,0.5661789219177158
0.6453900709219859,0.748663101604278,0.5986182244985062,0.37209302325581395,0.36363636363636365,0.5678430759355411
0.6408450704225352,0.7445075757575758,0.5957491582491583,0.36363636363636365,0.36363636363636365,0.5652019071690279
0.6433566433566433,0.7443651389932381,0.597524906600249,0.36363636363636365,0.36363636363636365,0.5668395046277073
0.6458333333333334,0.7442250372578241,0.5992526617526618,0.36363636363636365,0.36363636363636365,0.568423811742128
0.6413793103448275,0.7496436208125445,0.5939825695260478,0.3555555555555555,0.34782608695652173,0.5600634235943162
0.636986301369863,0.7454931071049841,0.591219806763285,0.34782608695652173,0.34782608695652173,0.5575631071579463
0.6394557823129252,0.7443899018232819,0.5929157131960335,0.34782608695652173,0.34782608695652173,0.5591005619414016
0.6418918918918919,0.7443478260869564,0.5945675701110483,0.34782608695652173,0.34782608695652173,0.5605899972625156
0.6375838926174496,0.7493333333333332,0.5897366522366522,0.3404255319148936,0.3333333333333333,0.5526933116402809
0.64,0.7556799999999998,0.5986255411255411,0.3673469387755102,0.36,0.5670553612763809
0.6423841059602649,0.7557142857142858,0.6002350427350427,0.3673469387755102,0.36,0.5685156825702972
0.6447368421052632,0.755748031496063,0.6018037974683544,0.3673469387755102,0.36,0.5699318501455515
0.6405228758169934,0.7517187500000001,0.5991666666666666,0.36,0.36,0.5675471701623462
0.6428571428571429,0.7508527131782947,0.6007098765432098,0.36,0.36,0.5689450752430302
0.6387096774193548,0.7550685748360167,0.5960944919278253,0.35294117647058826,0.34615384615384615,0.5615553417337777
0.6410256410256411,0.7562130177514792,0.5976000625390869,0.35294117647058826,0.34615384615384615,0.5628949349341573
0.643312101910828,0.7563123899001761,0.5990693543404387,0.35294117647058826,0.34615384615384615,0.564196129889907
0.6455696202531646,0.7564102564102564,0.600503663003663,0.35294117647058826,0.34615384615384615,0.5654605808468653
0.6415094339622641,0.7603815937149271,0.5962301587301587,0.34615384615384615,0.3333333333333333,0.5583915825327289
0.6375,0.7640692640692641,0.5922619047619048,0.33962264150943394,0.32142857142857145,0.5516633179904663
0.6335403726708074,0.7599355531686359,0.5897408963585434,0.3333333333333333,0.32142857142857145,0.5494913926759881
0.6358024691358025,0.7610607675906182,0.5911544850498339,0.3333333333333333,0.32142857142857145,0.550711351788402
0.6380368098159509,0.7672413793103448,0.598954156642609,0.35714285714285715,0.3448275862068966,0.5637629573232881
0.6402439024390244,0.7718905472636817,0.606233850129199,0.3793103448275862,0.36666666666666664,0.5754218462296741
0.6363636363636364,0.7680246913580248,0.6037835249042146,0.3728813559322034,0.36666666666666664,0.5732086634141325
0.6325301204819277,0.76421568627451,0.6013888888888889,0.36666666666666664,0.36666666666666664,0.5710291417458657
0.6347305389221557,0.7621654501216546,0.6027933832709114,0.36666666666666664,0.36666666666666664,0.5723094804306595
0.6369047619047619,0.7666588179891688,0.6096034191132053,0.3870967741935484,0.3870967741935484,0.582747359124093
0.6390532544378699,0.7669471715755026,0.6109767025089606,0.3870967741935484,0.3870967741935484,0.58401646250887
0.6411764705882353,0.7711730072463768,0.6173611111111111,0.40625,0.40625,0.5934940417221929
0.6374269005847953,0.7664118705035972,0.6150412087912088,0.4,0.40625,0.5913120586353865
0.6395348837209303,0.7667410714285715,0.6163949275362319,0.4,0.40625,0.5925872503301721
0.6416184971098265,0.771969696969697,0.6223924022837066,0.41791044776119407,0.42424242424242425,0.60120955919164
0.6436781609195402,0.7756302521008405,0.628037084398977,0.43478260869565216,0.4411764705882353,0.6091047121425762
0.6457142857142857,0.7759699624530664,0.6293616909129244,0.43478260869565216,0.4411764705882353,0.6103818224561065
0.6420454545454546,0.7725766362883182,0.6271120150187734,0.42857142857142855,0.4411764705882353,0.6082096267793456
0.6384180790960452,0.772315919374743,0.6249097007223942,0.42857142857142855,0.4411764705882353,0.6060680258535904
0.6404494382022472,0.7771228771228771,0.6302318295739349,0.4444444444444445,0.45714285714285713,0.613292854550359
